Pizza		
Végétarienne	Tomates fraiches, tapenade d'olives, tomates séchés, oignon	7500
Jambon Mozzarella	Blancs de volaille, base mozzarella, parmesan, tomates fraiches	10000
Trois fromages	Mozzarella, chèvre, gorgonzola, tomates fraiches, sauce tomate	10000
Régina	Jambon cuit, champignons de Paris frais, mozzarella, sauce de tomate	10500
Margherita	Fromage mozzarella, sauce tomate,olives, origan	11000
Vésuvio	Chorizo, poivrons frais, oignons rouges, œuf, mozzarella, sauce de tomate	12000
Merguez	Merguez bœuf et mouton, oignons rouges, dès de tomates	11000
Déssert		
Café gourmand	Café, décaféine ou thé Gaufre ou moelleux au chocolat	2500
Moelleux au chocolat	Moelleux au chocolat, amandes grillées, tout juste sorti du four	3500
Crousti poire crème	Mini-pizza cuite à la minute, crème d'amandes, poire caramelle	3500
Mousse au chocolat	Du chocolat noir fondant allégé aux blancs d'œufs	3250
Glaces		
Coupe Antillaise	Rhum-raisin (3 boules), rhum (3 cl)	1500
Colonel italien	Citron (3boules), Grappa Piave (3 cl)	1750
Fresca coulis de fram	Sorbets : citron, framboise, fruit de la passion, coulis de framboise	2500
